Date,Open,High,Low,Close,Volume
4/12/2022,37499.95,38030,37400,37878.1,4.65
4/11/2022,37749.8,38096.95,37681.15,37751.35,3.84
4/8/2022,37731,38089.5,37566.65,37985.25,5.27
4/7/2022,37499.95,38180,37400,37764.1,5.31
4/6/2022,37738,38036.6,37642.05,37754.35,4.62
4/5/2022,38750,38780,38010,38139,5.09
4/4/2022,37855,38744.35,37565.05,38650.05,7.44
4/1/2022,36407,37250,36337.05,37201.65,5.42
3/31/2022,36899,36899,36265.2,36373.6,2.57
3/30/2022,36350.05,36433.2,36084,36347.85,3.52
3/29/2022,36070,36070,35543,35958.95,3.86
3/28/2022,35575,35910,35080.05,35848.2,4.81
3/25/2022,35699.95,35787.95,35259,35558.8,4.05
3/24/2022,35700,36056.95,35502,35641.2,5.57
3/23/2022,36820,36858.5,36113.3,36205.35,5.41
3/22/2022,35816.1,36590,35475,36482.8,5.81
3/21/2022,36510,36599.95,35941.55,36093.25,3.88
3/17/2022,36340,36612.3,36322.15,36432.4,4.29
3/16/2022,35532,35861.05,35506,35804.05,4.44
3/15/2022,35400,35675,34703.6,35019.85,6.3
3/14/2022,34615.05,35464.95,34615.05,35319.05,5.11
3/11/2022,34320,34936,34153.25,34595.75,5.57
3/10/2022,35000,35424.25,34230.45,34547.2,8.77
3/9/2022,33300,34025,33052.1,33888.3,6.71
3/8/2022,32575.6,33361.55,32251.35,33253.9,7.84
3/7/2022,33678,33678,32450.2,32975.4,7.12
3/4/2022,34666.6,35172.3,34153.5,34455.45,6.52
3/3/2022,35749,35867.8,34811.5,35041.1,5.53
3/2/2022,35548,35655,34935.7,35463.4,6
2/28/2022,36076,36344.4,35655.2,36261.65,4.84
2/25/2022,35699,36729.75,35699,36421.75,5.39
2/24/2022,36150,36761,35201.05,35228.1,4.64
2/23/2022,37600.25,37757.05,37350.1,37432.1,3.43
2/22/2022,36935.35,37638.8,36906.55,37350.85,4.68
2/21/2022,37430,38059.45,37174.3,37656.9,4.83
2/18/2022,37350,37835,37203.55,37591.3,3.77
2/17/2022,38002.05,38109,37413.2,37502.85,5.18
2/16/2022,38300,38475,37771.25,37909.55,5.69
2/15/2022,36990,38240,36646.9,38187.25,6.17
2/14/2022,37725.25,37999,36807.6,36920.15,5.57
2/11/2022,38700.05,38826.6,38405.55,38517.5,4.37
2/10/2022,38890,39254.9,38591.95,39054,4.34
2/9/2022,38309.95,38733.65,38250.25,38704.3,3.57
2/8/2022,38201.05,38275,37386.05,38133.1,5.57
2/7/2022,38625,38934,37891,38101.65,4.35
2/4/2022,38999.75,39365,38655.55,38811,4.76
2/3/2022,39401.05,39540,38920,39067.35,3.9
2/2/2022,39888.7,39888.7,38877.75,39437.1,4.31
2/1/2022,38505.15,38914.95,37767,38622.75,8.35
1/31/2022,38150,38296,37757,38113.75,4.32
1/28/2022,38469.7,38550,37716.65,37824.3,5.01
1/27/2022,37000,38050,37000,37982.1,3.98
1/25/2022,36545,37808.9,36470.8,37720.5,4.77
1/24/2022,37599.85,39255,36410.05,36966.85,5.04
1/21/2022,37700.15,37814.45,37276,37598.05,4.81
1/20/2022,38222.25,38264.9,37688,37977.85,3.93
1/19/2022,38178.45,38408.55,37850,38156.55,4.22
1/18/2022,38425,38965.65,38149,38289.6,4.82
1/17/2022,38283,38714.9,38251,38368.2,2.36
1/14/2022,38349,38566.3,38109.95,38491.1,3.44
1/13/2022,38898,38898,38502,38591.45,2.87
1/12/2022,38800,38957,38721,38864.7,2.88
1/11/2022,38477.85,38634.95,38180,38548,3.44
1/10/2022,38025,38520,38000.15,38468.35,3.98
1/7/2022,37775,38250,37504,37856.95,5.21
1/6/2022,37410,37909.7,37179.1,37629.2,4.54
1/5/2022,37000.5,37987.95,36850.4,37795.2,5.17
1/4/2022,36700,37023.4,36492.1,36977.35,4.08
1/3/2022,36621,36644,35650.3,36582.45,3.82
12/31/2021,35256,35750,35200,35628.25,2.72
12/30/2021,34955.05,35164.25,34743.95,35063.6,2.79
12/29/2021,35201.25,35398,34906.15,35034.6,2.68
12/28/2021,35324,35375,35050,35221.25,2.84
12/27/2021,34550,35198.4,34264.35,35091.75,4.06
12/24/2021,35249.95,35314.95,34614,34874.8,4.32
12/23/2021,35377,35550,35090.1,35207.85,3.72
12/22/2021,34849.7,35169.5,34746,35091.1,3.31
12/21/2021,34848.7,35123.2,34429.25,34676.95,3.85
12/20/2021,35300.05,35350,34123.1,34547.3,4.79
12/17/2021,36639.75,36680.15,35642.55,35749.05,3.76
12/16/2021,37199,37279,36545,36711.5,3.47
12/15/2021,37000.05,37218,36901,36948.9,2.52
12/14/2021,36922.25,37200,36648.95,37042.5,3.7
12/13/2021,37500,37717,37025,37145.25,3.92
12/10/2021,37103.7,37296,36927.45,37246.3,2.91
12/9/2021,37452.5,37590,37017.25,37228.25,3.55
12/8/2021,37049,37475,37006.6,37402.3,3.85
12/7/2021,36100,36963.95,36100,36744.7,4.63
12/6/2021,36484.95,36489.1,35839.15,35891,3.74
12/3/2021,36645,36966,36175,36350.3,4.23
12/2/2021,36401,36689.95,36282,36633,2.92
12/1/2021,35790,36542.95,35790,36468.25,4.41
11/30/2021,36144.75,36849,35645.7,35780.2,5.53
11/29/2021,36230,36471,35459,36100.45,4.68
11/26/2021,37055.25,37093.75,36025.05,36157.8,4.81
11/25/2021,37324,37538.7,37115,37364.75,3.33
11/24/2021,37401,37895.5,37239.45,37465,3.73
11/23/2021,36921.65,37474.95,36682,37284.3,3.54
11/22/2021,38199.9,38214.1,36680.05,37182.1,4.18
11/18/2021,38102.35,38314.9,37821.3,38105.7,3.52
11/17/2021,38150,38562.85,38055,38139.4,2.98
11/16/2021,38800,38849.8,38292.45,38404.15,2.87
11/15/2021,38950,39179.7,38712.05,38858,2.48
11/12/2021,38171.05,38948.95,38171.05,38871.35,2.66
11/11/2021,39044,39044,38442.95,38686.1,3.37
11/10/2021,39337,39350,38985.95,39120.6,2.87
11/9/2021,39675,39708,39351.75,39544.6,2.42
11/8/2021,39615.05,39750.95,39051,39652.5,4.43
11/4/2021,39600.55,39780,39574,39632.65,630.23
11/3/2021,40106,40295,39412.45,39496.6,4.85
11/2/2021,40075,40250,39725,40081.55,3.37
11/1/2021,39555,40116,39254.15,40028.1,3.48
10/29/2021,39644.95,39890.85,38606.9,39314.45,5.74
10/28/2021,40877,40949,39476,39508.95,4.24
10/27/2021,41305,41364.4,40840.4,40959.95,2.6
10/26/2021,41214.9,41424,40876.05,41360.45,3.05
10/25/2021,40806,41820.8,40455.05,41271.9,4.63
10/22/2021,40251.15,40582.45,40195.85,40396.4,4.08
10/21/2021,39733,40326.85,39482.35,40105.05,3.98
10/20/2021,39512.5,39850,39394.85,39654.9,3.47
10/19/2021,39959.95,40040.45,39409,39633.35,3.39
10/18/2021,39785,40001.95,39612.2,39782.45,3.15
10/14/2021,38726.25,39425,38702,39402.35,3.48
10/13/2021,38750.05,38836.8,38554.95,38718.35,2.57
10/12/2021,38259,38668,38180,38588.35,3.34
10/11/2021,38000,38569.65,37859.15,38373.45,3.57
10/8/2021,38029.95,38200,37788.45,37917.05,3.55
10/7/2021,37912,38049.9,37768.1,37886.3,3.03
10/6/2021,37887.85,38190,37560,37624.35,4.11
10/5/2021,37600,37912,37472.15,37864.2,2.91
10/4/2021,37445,37785,37445,37735.25,2.64
10/1/2021,37321,37424.95,36950.15,37356.4,3.18
9/30/2021,37810.05,37913.15,37384.4,37425.1,3.29
9/29/2021,37675.65,38048.85,37392.65,37878.5,3.32
9/28/2021,38350.1,38377,37351,38044.15,4.41
9/27/2021,37994,38395.6,37974.4,38224.8,2.62
9/24/2021,38051.5,38174.9,37720,37854.3,3.02
9/23/2021,37350,37910.2,37273,37861.05,3.94
9/22/2021,37349,37440,36990,37100.3,3.06
9/21/2021,37300,37435,36609.35,37370.5,4.78
9/20/2021,37525,37885,37145.4,37224.25,3.99
9/17/2021,37990,38224.7,37466,37850.05,4.93
9/16/2021,37020,37855.65,36984.1,37780.2,4.37
9/15/2021,36761.1,37064.75,36590.35,36968.25,2.75
9/14/2021,36701,36839,36616.2,36714.45,2.23
9/13/2021,36730.6,36744.9,36412,36576.55,2.58
9/9/2021,36725.25,36963.4,36651,36772.55,2.37
9/8/2021,36619,36946,36502,36881.7,3.23
9/7/2021,36700.05,36838.5,36251.2,36585.95,4.16
9/6/2021,36995,37037,36690.05,36757.15,2.26
9/3/2021,37038.95,37249,36670.05,36899.75,3.5
9/2/2021,36511,37033.85,36511,36969.25,2.56
9/1/2021,36625.05,37085,36558,36699,4.14
8/31/2021,36498,36690,36321.85,36513.5,4.03
8/30/2021,35825.2,36532.35,35820,36478.85,3.92
8/27/2021,35677.65,35817.25,35470.8,35725.5,2.88
8/26/2021,35520,35787.95,35425,35617.55,2.7
8/25/2021,35761.05,35909.95,35520,35617.65,2.76
8/24/2021,35152.1,35817.55,35085,35719.35,3.48
8/23/2021,35401,35401,34850,35159.2,3.04
8/20/2021,35012.2,35329,34902,35062.95,3.67
8/18/2021,36275,36280,35477,35601.3,3.77
8/17/2021,35988.7,36060,35690.75,35937.85,3.12
8/16/2021,36151.1,36296.35,36070.95,36140.25,1.94
8/13/2021,36100,36269.15,35960,36211.75,2.76
8/12/2021,35825.4,36128,35793.1,36063.8,2.67
8/11/2021,36250.25,36274.95,35670,35917.2,4.21
8/10/2021,36039.95,36395.15,36012,36135.1,3.51
8/9/2021,35900,36278,35804.05,36128.6,3.38
8/6/2021,35953.6,36182.5,35787.05,35941.05,3.04
8/5/2021,36116.45,36174.65,35751,35954.1,3.42
8/4/2021,35425.1,36275,35413,36094.35,5.28
8/3/2021,34825.05,35347,34782.05,35296.7,3.35
8/2/2021,34820.5,34987.15,34678.25,34825.85,2.48
7/30/2021,34800,34850,34545.05,34673.15,2.68
7/29/2021,34675.25,34777.05,34482.9,34691.5,2.5
7/28/2021,34768.5,34829,34118.2,34559.3,3.61
7/27/2021,35039.95,35188,34710.3,34817.85,2.94
7/26/2021,34889,35155,34731.85,34962.8,2.62
7/23/2021,34800,35129.9,34405.5,35040.9,4.39
7/22/2021,34802,35049,34599.95,34724.85,3.86
7/20/2021,34955.65,35000.75,34440,34487.1,4
7/19/2021,35222.2,35449.95,34965.5,35170.75,4.17
7/16/2021,36049.9,36075.9,35737,35856.5,2.34
7/15/2021,35760.05,36067.95,35718.65,35988.25,2.57
7/14/2021,35650,35885,35555.15,35755.6,2.74
7/13/2021,35530,35815,35461.15,35761.65,3.41
7/12/2021,35386,35569.35,35152.05,35311.55,3.07
7/9/2021,35326.3,35372,34980,35270.35,3.76
7/8/2021,35712,35944.25,35261.6,35411,4.03
7/7/2021,35599.7,35899,35470.1,35865.6,2.48
7/6/2021,35273.95,35925,35273.95,35677.4,3.6
7/5/2021,35080,35366,35055.6,35336.9,2.66
7/2/2021,34934,35099,34760,34951.65,3.18
7/1/2021,34975.75,35086.35,34810.85,34853.05,2.64
6/30/2021,35227.85,35392.3,34892.5,34937.55,3.65
6/29/2021,35250.5,35467.1,35090.05,35186.1,2.88
6/28/2021,35698.95,35990,35350,35516.15,3.31
6/25/2021,35050.15,35665.5,35001.1,35488.65,3.56
6/24/2021,34699.25,34970,34579.3,34827,3.08
6/23/2021,34949.7,34972,34555.1,34611.9,3.22
6/22/2021,35110,35286.75,34719.1,34775.8,3.73
6/21/2021,34388,34949,33955.1,34911.1,3.86
6/18/2021,34800,34837.85,33937,34596.75,4.34
6/17/2021,34699.95,34970.05,34486.4,34682.2,3.39
6/16/2021,35233,35463.9,35005,35101.35,2.83
6/15/2021,35035,35425.95,34960.6,35330.4,2.56
6/14/2021,35024,35130,34455,35065.1,3.36
6/11/2021,35420,35474.95,34977.7,35169.35,2.6
6/10/2021,34980,35320,34830,35266.35,3.08
6/9/2021,35281,35547.6,34757.65,34929.35,4.84
6/8/2021,35536.8,35569.8,35123,35265.3,3.18
6/7/2021,35540.05,35740,35494,35622.2,2.32
6/4/2021,35770,35960.8,35350,35508.5,3.78
6/3/2021,35662.2,35890,35553,35781.95,3.04
6/2/2021,35380,35560,35180,35524.25,2.84
6/1/2021,35677.95,35797.45,35313.95,35454.1,3.64
5/31/2021,35280,35650,35063.15,35602.9,3.55
5/28/2021,35499,35670,35150,35321.8,3.79
5/27/2021,34605.6,35110.3,34522.05,35095.05,3.4
5/26/2021,34810,34989.9,34502.15,34723.95,3.76
5/25/2021,35149,35193.95,34434,34758.05,3.98
5/24/2021,34900,35348,34556,34998.1,4.37
5/21/2021,33600.15,34855,33589.9,34763.15,5.16
5/20/2021,33779,33913.75,33387,33445.7,2.95
5/19/2021,33810,34030,33655,33800.75,3.56
5/18/2021,33944.75,34244,33801.05,34045.2,3.93
5/17/2021,32452,33605.15,32366.05,33548.85,5.33
5/14/2021,32500.05,32698.65,32184,32265.2,3.75
5/12/2021,32775,32817,32423.05,32520.3,4.23
5/11/2021,32755,33288.95,32700,32952.5,4.02
5/10/2021,33250,33500,33165,33302.65,2.94
5/7/2021,33203.35,33367.65,32861.7,33038.4,3.6
5/6/2021,33107.85,33144.4,32655,32953.75,3.81
5/5/2021,32730,33060.7,32134.7,32973.65,5.27
5/4/2021,32755.05,33206,32316.5,32422.55,5.54
5/3/2021,32350,32757.65,31625,32655.85,5.57
4/30/2021,33197.65,33599.65,32812.1,32893.55,5.26
4/29/2021,33902.25,34298.85,33271.8,33714.5,4.79
4/28/2021,32874,33764.9,32833.9,33696.2,4.35
4/27/2021,32238,32784.7,32150.05,32741.95,3.63
4/26/2021,32221.2,32624.95,32150.55,32302.55,4.61
4/23/2021,31505,32169.9,31376.4,31709.6,5.85
4/22/2021,30798.55,31823.75,30588.95,31762.85,5.92
4/20/2021,31589,31784.3,30917,31120.55,5.01
4/19/2021,31105.25,31337.5,30451.6,31239.7,6.02
4/16/2021,32260,32439.2,31986.45,32075.65,4.07
4/15/2021,31950.2,32294.6,31450,32206.95,6.2
4/13/2021,31002.05,32019.9,30779.15,31865.6,5.75
4/12/2021,31821,31900,30610,30869.25,6.19
4/9/2021,32312,33174,32251.25,32617.55,4.43
4/8/2021,33331,33489.95,32851.5,32945.7,4.61
4/7/2021,32560.35,33370,32298.3,33151.4,5.78
4/6/2021,33021,33175,32461.65,32691.55,4.74
4/5/2021,33925,33999,32412,32817.15,6.01
4/1/2021,33693,34250,33390.05,34155.2,5.22
3/31/2021,33939.65,33945.85,33266.3,33478.45,4.59
3/30/2021,33915.2,34180,33693.6,34046.8,4.61
3/26/2021,33750,33834.4,33336.75,33584.7,5.02
3/25/2021,33408.45,33590,32391.65,33006.45,5.24
3/24/2021,33888.85,34016.7,33254.9,33358.3,4.67
3/23/2021,33760,34424.9,33635,34244.05,6.45
3/22/2021,34035.3,34189.9,33413,33685.2,5.06
3/19/2021,33600.3,34450,33380.05,34205.6,7.05
3/18/2021,34579.8,34820,33668.55,33888.25,6.01
3/17/2021,34900,35184.15,34230.25,34360.65,5.4
3/16/2021,35425,35494,34790,34923.4,4.74
3/15/2021,35485.5,35544,34455,35304.7,5.69
3/12/2021,36505.25,36554,35206.55,35522.1,5.71
3/10/2021,36244,36244,35816,36007.75,3.5
3/9/2021,35668,36154,35604,35932.95,5.57
3/8/2021,35501.05,35888.5,35100,35316.05,5.36
3/5/2021,35500,35660,34887.9,35287.95,6.12
3/4/2021,35726.25,36421.25,35530,35879.75,5.82
3/3/2021,35750,36580.95,35666.8,36491.75,4.75
3/2/2021,35460.05,35754.8,34983.05,35454.85,5.3
3/1/2021,35350,35615,34983.05,35324.55,4.43
2/26/2021,36000,36080,34660,34870.35,8.54
2/25/2021,36502,37243.4,36482.35,36549,5.01
2/24/2021,35090,35821.4,35035,36468.7,4.92
2/23/2021,35580,35714.95,34988.75,35119.85,5.81
2/22/2021,35622.35,36116,35075,35254.55,5.91
2/19/2021,36402,36680,35570.25,35849.8,6.44
2/18/2021,37075,37125.15,36352,36603.3,5.16
2/17/2021,37050.05,37400.55,36820,36976,5.43
2/16/2021,37550,37770,36832.6,37218.15,6.47
2/15/2021,36455,37543.95,36423.45,37402.65,4.94
2/12/2021,35770,36347.75,35720.15,36133.8,5.16
2/11/2021,35750,36067,35630,35808.75,4.15
2/10/2021,35960,36253,35462.75,35875.4,5.85
2/9/2021,36580,36580,35639,36045.95,5.8
2/8/2021,36140,36503.5,35860,36013.8,5.66
2/5/2021,35575.9,36640,35527,35665.95,8.86
2/4/2021,34551.05,35488,34343.55,35352.05,6.12
2/3/2021,34675,34998.9,34097.5,34841.75,5.54
2/2/2021,33610,34740.5,33601,34392.7,9.05
2/1/2021,30994.85,33484.95,30942.5,33276.3,10.48
1/29/2021,30639.5,31238,30291.2,30679.15,7.12
1/28/2021,29886.1,30410.75,29661,30358.3,5.62
1/27/2021,31165.35,31249.9,30177.1,30328.35,6.42
1/25/2021,31469.95,31700,30989.9,31181.15,6.28
1/22/2021,32200.2,32226.95,31123.05,31197.75,7.57
1/21/2021,32749,32899,32001.5,32228.8,4.94
1/20/2021,32426.25,32664.85,32354.3,32584.7,3.75
1/19/2021,32085.5,32569.75,31919,32520.9,4.44
1/18/2021,32315.65,32467.85,31691.7,31815.7,5.64
