Date,Day_name,Open,Gap_Point,Gap_Point(%),Open_Gap_Type,Remarks,Gap_Fill_Point,Gap_Fill_Point%,Low,High,Day_Range,Close,Day_Range(%)
2022-04-12,Tuesday,37499.95,-251.4,-0.67,"MEDIUM GAP DOWN","GAP FILL UP",530.05,210.84,37400,38030,630,37878.1,1.66
2022-04-11,Monday,37749.8,-235.4,-0.62,"MEDIUM GAP DOWN","GAP FILL UP",347.15,147.44,37681.15,38096.95,415.8,37751.35,1.1
2022-04-08,Friday,37731,-33.1,-0.09,"FLAT DOWN","GAP FILL UP",358.5,1083.08,37566.65,38089.5,522.85,37985.25,1.38
2022-04-07,Thursday,37499.95,-254.4,-0.67,"MEDIUM GAP DOWN","GAP FILL UP",680.05,267.32,37400,38180,780,37764.1,2.07
2022-04-06,Wednesday,37738,-401,-1.05,"BIG GAP DOWN","GAP FILL UP",298.6,74.46,37642.05,38036.6,394.55,37754.35,1.05
2022-04-05,Tuesday,38750,99.9,0.26,"FLAT UP","NOT FILL",-740,-740.37,38010,38780,770,38139,2.02
2022-04-04,Monday,37855,653.3,1.76,"BIG GAP UP","NOT FILL",-289.95,-44.38,37565.05,38744.35,1179.3,38650.05,3.05
2022-04-01,Friday,36407,33.4,0.09,"FLAT UP","NOT FILL",-69.95,-209.43,36337.05,37250,912.95,37201.65,2.45
2022-03-31,Thursday,36899,551.2,1.52,"BIG GAP UP","NOT FILL",-633.8,-115,36265.2,36899,633.8,36373.6,1.74
2022-03-30,Wednesday,36350.05,391.1,1.09,"BIG GAP UP","NOT FILL",-266.05,-68.03,36084,36433.2,349.2,36347.85,0.96
2022-03-29,Tuesday,36070,221.8,0.62,"MEDIUM GAP UP","NOT FILL",-527,-237.6,35543,36070,527,35958.95,1.47
2022-03-28,Monday,35575,16.2,0.05,"FLAT UP","NOT FILL",-494.95,-3055.25,35080.05,35910,829.95,35848.2,2.32
2022-03-25,Friday,35699.95,58.8,0.16,"FLAT UP","NOT FILL",-440.95,-750.55,35259,35787.95,528.95,35558.8,1.49
2022-03-24,Thursday,35700,-505.3,-1.4,"BIG GAP DOWN","GAP FILL UP",356.95,70.63,35502,36056.95,554.95,35641.2,1.56
