Year,Inflation Rate (%),Annual Change
2020,6.62%,2.90%
2019,3.72%,-0.22%
2018,3.95%,0.62%
2017,3.33%,-1.62%
2016,4.95%,0.04%
2015,4.91%,-1.74%
2014,6.65%,-4.41%
2013,11.06%,1.75%
2012,9.31%,0.45%
2011,8.86%,-3.13%
2010,11.99%,1.11%
2009,10.88%,2.53%
2008,8.35%,1.98%
2007,6.37%,0.58%
2006,5.80%,1.55%
2005,4.25%,0.48%
2004,3.77%,-0.04%
2003,3.81%,-0.49%
2002,4.30%,0.52%
2001,3.78%,-0.23%
2000,4.01%,-0.66%
1999,4.67%,-8.56%
1998,13.23%,6.07%
1997,7.16%,-1.81%
1996,8.98%,-1.25%
1995,10.22%,-0.02%
1994,10.25%,3.92%
1993,6.33%,-5.46%
1992,11.79%,-2.08%
1991,13.87%,4.90%
1990,8.97%,1.90%
1989,7.07%,-2.31%
1988,9.38%,0.58%
1987,8.80%,0.07%
1986,8.73%,3.17%
1985,5.56%,-2.76%
1984,8.32%,-3.55%
1983,11.87%,3.98%
1982,7.89%,-5.22%
1981,13.11%,1.77%
1980,11.35%,5.07%
1979,6.28%,3.75%
1978,2.52%,-5.78%
1977,8.31%,15.94%
1976,-7.63%,-13.38%
1975,5.75%,-22.85%
1974,28.60%,11.66%
1973,16.94%,10.50%
1972,6.44%,3.36%
1971,3.08%,-2.01%
1970,5.09%,5.68%
1969,-0.58%,-3.82%
1968,3.24%,-9.82%
1967,13.06%,2.26%
1966,10.80%,1.33%
1965,9.47%,-3.88%
1964,13.36%,10.41%
1963,2.95%,-0.69%
1962,3.63%,1.94%
1961,1.70%,-0.08%
1960,1.78%,-0.08%
